Marca,Title,Text_url, Price 
Electrolux,Thermax Water Heater,https://www.techandhouse.com/wet4027hsw.html," $2,499.99 "
Titan,Lavadora de Carga Frontal de 3.9 pies³,https://www.techandhouse.com/jsd26-nb.html," $2,699.99 "
Thermax,8.0. Cu. Ft. Front Load Perfect Steam™ Electric Dryer with PredictiveDry™ and Instant Refresh,https://www.techandhouse.com/jsd26-nb.html, $269.99 
LG,Secadora Eléctrica de 8.0 pies³,https://www.techandhouse.com/1cwtw4815ew.html, $300.00 
Titan,12 L/min Electric Water Heater,https://www.techandhouse.com/1cwtw4815ew.html, $999.99 
Titan,20 L/min Gas Water Heater,https://www.techandhouse.com/dlex8500v.html, $189.99 
Frigidaire,"Smart Diagnosis, Sensor Gas Dryer 16kg / 35lbs",https://www.techandhouse.com/dlex8500v.html, $299.00 
LG,12 L/min Gas Water Heater,https://www.techandhouse.com/sd32-nb.html," $1,599.99 "
Titan,18 L/min Electric Water Heater,https://www.techandhouse.com/sd32-nb.html, $899.99 
Frigidaire,Secadora a Gas de 7 pies³,https://www.techandhouse.com/wgi16542xspb0.html, $269.99 
Titan,4.3 cu.ft. Extra Large Capacity Front Load Washer,https://www.techandhouse.com/wgi16542xspb0.html, $899.99 
LG,15 L/min Gas Water Heater,https://www.techandhouse.com/fad954dwd.html, $399.99 
Titan,Secadora a Gas de Alta Eficiencia,https://www.techandhouse.com/fad954dwd.html," $1,099.99 "
LG,20 L/min Electric Water Heater,https://www.techandhouse.com/wgd7800xw.html, $289.99 
Electrolux,4.1 pies cúbicos. Cargador frontal SteamWasher,https://www.techandhouse.com/wgd7800xw.html," $1,699.99 "
Electrolux,18 L/min Gas Water Heater,https://www.techandhouse.com/efme517stt.html," $1,999.99 "
Frigidaire,Mega Capacity High Efficiency Gas Dryer,https://www.techandhouse.com/efme517stt.html," $2,699.99 "
Whirlpool,Lavadora Carga Frontal de 5.1 pies³,https://www.techandhouse.com/ffle3900uw.html, $899.99 
Whirlpool,Lavadora Carga Frontal 5.1 pies³,https://www.techandhouse.com/ffle3900uw.html, $599.99 
Whirlpool,Secadora Eléctrica de Alta Eficiencia,https://www.techandhouse.com/efme617siw.html, $469.99 
Frigidaire,Top Load Washing Machine with Impeller - 21 kg,https://www.techandhouse.com/efme617siw.html, $899.99 
Frigidaire,Superior Load Washer Xpert System 18 kg,https://www.techandhouse.com/jsd-28.html, $899.99 
Whirlpool,Washing machine with High Efficiency system - White - 24 Kg,https://www.techandhouse.com/jsd-28.html," $1,199.99 "
Whirlpool,"Lavadora de Carga Superior de 27|7.0 Cu. Ft. Electric Dryer|Whirlpool Superior Washing Machine 26Kg|Top Loading Washing Machine Xpert System 20 kg|7.4 cu.ft Front Load Electric Dryer with Advanced Moisture Sensing, Steam Refresh",https://www.techandhouse.com/ffle2022mw.html, $999.99 
Whirlpool,,https://www.techandhouse.com/ffle2022mw.html, $499.90 
,,https://www.techandhouse.com/fftw4120sw.html, $819.99 
